fold,strategy,model,position_strategy,trading_method,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Futures Day Trading,VMD_Hybrid,confidence_based,futures_day_trading,,,,,12.297828625468888,27.579193870403195,-43.349021344372396,1122978.2862546889,55.646849969841284,120,0.5083333333333333,1.848081134226768,4393.212726412326,2457.7574585841203,1024.8190521224076,1024.8190521224067,0.02106164042272398,31,3.1133665669871524,6.28074292196011,13.09451368310668,1.8625873842483622,5.838969984598362,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,confidence_based,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,EMD_LSTM,fixed_01,spot_day_trading,,,,,0.5064823526998108,1.0665762968272041,-55.14036761714147,1005064.823526998,55.646849969841284,5,0.5,16.92019452333277,2350.4886075737813,138.91616933437035,1105.7862191197055,1105.7862191197055,0.0018554423012489278,30,2.1640200732599624,3.264363207523289,5.748366823960382,1.4737573675777809,2.7297122220339793,1,1,0.041666666666666664,120
1,Spot Swing Trading,EMD_LSTM,fixed_01,spot_swing_trading,,,,,0.28750612040020496,0.6047176646123198,-55.35934384944108,1002875.061204002,55.646849969841284,2,1.0,2875.0612040019278,1437.5306020009639,0.0,1437.5306020009639,1437.5306020009639,0.0005986533175979175,61,2.660784657510552,2.386628810420294,10.101299814703031,2.6165086959887764,4.802547851130472,2,0,0.016666666666666666,120
1,Futures Day Trading,EMD_LSTM,fixed_01,futures_day_trading,,,,,0.9428516027724099,1.9902591795628588,-54.70399836706888,1009428.516027724,55.646849969841284,120,0.49166666666666664,1.2696698454984527,752.4016702640483,573.1669265222091,78.57096689770066,78.57096689770077,0.00592062541772706,55,1.411965352848532,2.580551236375743,3.36156915721063,1.2600046889292036,1.5924864963579553,7,5,1.0,120
1,Futures Swing Trading,EMD_LSTM,fixed_01,futures_swing_trading,,,,,0.8966609265390613,1.8922769251169314,-54.75018904330222,1008966.6092653907,55.646849969841284,2,1.0,8966.609265390633,4483.304632695316,0.0,4483.304632695316,4483.304632695316,0.0018004789068751085,61,2.6976161168121906,2.485149389312722,10.509853338971611,2.6633505038113916,4.980124583049415,2,0,0.016666666666666666,120
1,Spot Day Trading,EMD_LSTM,fixed_05,spot_day_trading,,,,,2.5443434727391745,5.417955394413898,-53.10250649710211,1025443.4347273918,55.646849969841284,5,0.5,16.76295952088276,11752.443037868914,701.0959504631683,5525.673543702873,5525.673543702873,0.009142175651371846,30,2.175827802442859,3.293734553732213,5.926330450236861,1.4766149184147959,2.783083119123165,1,1,0.041666666666666664,120
1,Spot Swing Trading,EMD_LSTM,fixed_05,spot_swing_trading,,,,,1.440623410196329,3.0492914568845952,-54.20622655964495,1014406.2341019632,55.646849969841284,2,1.0,14406.234101963128,7203.117050981564,0.0,7203.117050981564,7203.117050981564,0.0029839561200473087,61,2.6625515280673206,2.3888383118101815,10.21895542095388,2.6178401212210654,4.827897436284964,2,0,0.016666666666666666,120
1,Futures Day Trading,EMD_LSTM,fixed_05,futures_day_trading,,,,,4.713309370528029,10.154935146110123,-50.933540599313254,1047133.0937052803,55.646849969841284,120,0.49166666666666664,1.2627321310854018,3839.4761849517295,2940.918052571662,392.7757808773383,392.7757808773388,0.029564264508052083,61,1.411965352848446,2.580551236375593,3.4348681812613124,1.2600046889291852,1.594258963974674,7,5,1.0,120
1,Futures Swing Trading,EMD_LSTM,fixed_05,futures_swing_trading,,,,,4.513533436832584,9.714067104873102,-51.1333165330087,1045135.3343683259,55.646849969841284,2,1.0,45135.334368325966,22567.667184162983,0.0,22567.667184162983,22567.667184162983,0.008914242955835719,61,2.7031401596291293,2.492719927890467,10.89724293246212,2.6679238755148154,5.063282949762772,2,0,0.016666666666666666,120
