fold,strategy,model,position_strategy,trading_method,confidence_threshold,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.3,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.4,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.5,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.0,,,,,-3.080485651972087,-5.120832547851739,-58.727335621813374,969195.1434802791,55.646849969841284,38,0.21052631578947367,0.500398656966652,7713.5044998716185,4110.5916346137965,-1621.308237880025,-1621.3082378800252,0.048845020027277974,111,-1.312719903741486,-1.464267146559909,-1.0483837543708572,0.7548916010056079,-0.6306652449424239,1,10,0.25333333333333335,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.1,,,,,5.556906543712281,9.510958253922785,-50.089943426129004,1055569.0654371227,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02115581784402617,26,1.8178944538637787,2.6979944729219216,4.495670327681718,1.3690272337870781,2.626656451989348,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.2,,,,,5.619461986920404,9.620010045409844,-50.02738798292088,1056194.619869204,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02122759644947573,32,1.7375510148567073,2.4921282685374417,4.531841401972494,1.3614211348744216,2.647243648283689,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.3,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.4,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,0.5,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_30,spot_day_trading,0.0,,,,,-9.226386950019327,-15.00915152457839,-64.87323691986062,907736.1304998067,55.646849969841284,38,0.21052631578947367,0.49538192090107214,22643.78487210875,12189.267265908542,-4855.993131589113,-4855.993131589113,0.14034728988471157,111,-1.322224282174165,-1.4734050597231507,-1.0694293802828452,0.7537621700622602,-0.6573968729712097,1,10,0.25333333333333335,150
1,Spot Day Trading,RandomForest,fixed_30,spot_day_trading,0.1,,,,,16.67071963113682,29.567462283910206,-38.976130338704465,1166707.1963113681,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05840591701549939,26,1.8860757127563592,2.8379134449827133,5.062408706991756,1.3837164921585487,2.8542860865814066,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_30,spot_day_trading,0.2,,,,,16.85838596076119,29.917784053161967,-38.788464009080094,1168583.859607612,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05855516403191044,32,1.8013330160276702,2.614474788491492,5.109333147262274,1.375819285184435,2.8790604961116655,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_30,spot_day_trading,0.3,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
